hotCode;Date;ObsDate;Chv;Clx;Sel;Libres;Construites;Ca;CaH;To;Pm;revpz;Gt;Te;Ant;Ds
231;2022-01-01;2021-11-02;3;0;3;41;44;483.78;469.38;0.0682;156.46;10.67;0;0;;
231;2022-01-01;2021-11-03;3;0;3;41;44;483.78;469.38;0.0682;156.46;10.67;0;0;;
231;2022-01-01;2021-11-04;3;0;3;41;44;483.78;469.38;0.0682;156.46;10.67;0;0;;
231;2022-01-01;2021-11-05;3;0;3;41;44;483.78;469.38;0.0682;156.46;10.67;0;0;;
231;2022-01-01;2021-11-06;3;0;3;41;44;483.78;469.38;0.0682;156.46;10.67;0;0;;
231;2022-01-01;2021-11-07;3;0;3;41;44;483.78;469.38;0.0682;156.46;10.67;0;0;;
231;2022-01-01;2021-11-08;3;0;3;41;44;483.78;469.38;0.0682;156.46;10.67;0;0;;
231;2022-01-01;2021-11-09;3;0;3;41;44;483.78;469.38;0.0682;156.46;10.67;0;0;;
231;2022-01-01;2021-11-10;4;0;4;40;44;646.73;626.57;0.0909;156.64;14.24;0;0;;
231;2022-01-01;2021-11-11;4;0;4;40;44;646.73;626.57;0.0909;156.64;14.24;0;0;;
231;2022-01-01;2021-11-12;4;0;4;40;44;646.73;626.57;0.0909;156.64;14.24;0;0;;
231;2022-01-01;2021-11-13;4;0;4;40;44;646.73;626.57;0.0909;156.64;14.24;0;0;;
231;2022-01-01;2021-11-14;4;0;4;40;44;646.73;626.57;0.0909;156.64;14.24;0;0;;
231;2022-01-01;2021-11-15;4;0;4;40;44;646.73;626.57;0.0909;156.64;14.24;0;0;;
231;2022-01-01;2021-11-16;4;0;4;40;44;646.73;626.57;0.0909;156.64;14.24;0;0;;
231;2022-01-01;2021-11-17;4;0;4;40;44;646.73;626.57;0.0909;156.64;14.24;0;0;;
231;2022-01-01;2021-11-18;4;0;4;40;44;646.73;626.57;0.0909;156.64;14.24;0;0;;
231;2022-01-01;2021-11-19;4;0;4;40;44;646.73;626.57;0.0909;156.64;14.24;0;0;;
