stay_date;hotCode;pm_mean;pm_slope;pm_volatility;pm_diff_sum;pm_change_ratio;pm_last_jump;pm_trend_changes;ant_slope;ant_volatility;ant_diff_sum;ant_change_ratio;ant_last_jump;ant_trend_changes;ds_slope;ds_volatility;ds_diff_sum;ds_change_ratio;ds_last_jump;ds_trend_changes;comp_slope;comp_volatility;comp_diff_sum;comp_change_ratio;comp_last_jump;comp_trend_changes;gap_last;gap_slope;elasticity_last;elasticity_slope;nb_observations;cluster;month;dayofweek;ToF1;is_holiday_fr;is_bridge_day;days_to_holiday;is_vacances_scolaires;is_long_weekend_3j;is_long_weekend_4j;J-0
2022-01-01;D09;188.05;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;24.05000000000001;0.0;1.1466463414634147;0.0;1;9;1;5;0.0;1;0;0;1;0;0;0.6532907585421817
2022-01-02;D09;137.19;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;24.189999999999998;0.0;1.214070796460177;0.0;1;2;1;6;0.0;0;1;90;1;0;0;0.2622283943849133
2022-01-03;D09;130.32;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0.3199999999999932;0.0;1.0024615384615385;0.0;1;1;1;0;0.0;0;0;90;0;0;0;0.191561265004329
2022-01-04;D09;167.33;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;37.33000000000001;0.0;1.2871538461538463;0.0;1;2;1;1;0.0;0;0;90;0;0;0;0.2339893453203259
2022-01-05;D09;143.55;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;13.550000000000011;0.0;1.1042307692307693;0.0;1;2;1;2;0.0;0;0;90;0;0;0;0.2697771070957822
2022-01-06;D09;143.55;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;13.550000000000011;0.0;1.1042307692307693;0.0;1;9;1;3;0.0;0;0;90;0;0;0;0.2440038939364922
2022-01-07;D09;116.14;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;-2.8599999999999994;0.0;0.9759663865546219;0.0;1;9;1;4;0.0;0;0;90;0;0;0;0.3703665363085655
2022-01-08;D09;122.28;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;-22.72;0.0;0.8433103448275863;0.0;1;6;1;5;0.0;0;0;90;0;0;0;0.5532351905134039
2022-01-09;D09;123.74;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;8.739999999999995;0.0;1.0759999999999998;0.0;1;5;1;6;0.0;0;0;90;0;0;0;0.1556123073883074
2022-01-10;D09;123.85;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;-6.150000000000006;0.0;0.9526923076923076;0.0;1;7;1;0;0.0;0;0;90;0;0;0;0.221984975335359
