cluster;n_samples;percentage;J-60_mean;J-60_std;J-59_mean;J-59_std;J-58_mean;J-58_std;J-57_mean;J-57_std;J-56_mean;J-56_std;J-55_mean;J-55_std;J-54_mean;J-54_std;J-53_mean;J-53_std;J-52_mean;J-52_std;J-51_mean;J-51_std;J-50_mean;J-50_std;J-49_mean;J-49_std;J-48_mean;J-48_std;J-47_mean;J-47_std;J-46_mean;J-46_std;J-45_mean;J-45_std;J-44_mean;J-44_std;J-43_mean;J-43_std;J-42_mean;J-42_std;J-41_mean;J-41_std;J-40_mean;J-40_std;J-39_mean;J-39_std;J-38_mean;J-38_std;J-37_mean;J-37_std;J-36_mean;J-36_std;J-35_mean;J-35_std;J-34_mean;J-34_std;J-33_mean;J-33_std;J-32_mean;J-32_std;J-31_mean;J-31_std;J-30_mean;J-30_std;J-29_mean;J-29_std;J-28_mean;J-28_std;J-27_mean;J-27_std;J-26_mean;J-26_std;J-25_mean;J-25_std;J-24_mean;J-24_std;J-23_mean;J-23_std;J-22_mean;J-22_std;J-21_mean;J-21_std;J-20_mean;J-20_std;J-19_mean;J-19_std;J-18_mean;J-18_std;J-17_mean;J-17_std;J-16_mean;J-16_std;J-15_mean;J-15_std;J-14_mean;J-14_std;J-13_mean;J-13_std;J-12_mean;J-12_std;J-11_mean;J-11_std;J-10_mean;J-10_std;J-9_mean;J-9_std;J-8_mean;J-8_std;J-7_mean;J-7_std;J-6_mean;J-6_std;J-5_mean;J-5_std;J-4_mean;J-4_std;J-3_mean;J-3_std;J-2_mean;J-2_std;J-1_mean;J-1_std;J-0_mean;J-0_std
0;333;23.53356890459364;0.24325394797781374;0.1803291702124607;0.24588855744451818;0.17974874304967178;0.2488841521909358;0.1794684855354129;0.25221656490815286;0.1792230191496203;0.25586162828725606;0.17893412120165686;0.2597951750193317;0.1786270804123743;0.26399303779546635;0.17836538535340707;0.26843104930674777;0.17820410263719572;0.27295838612882534;0.17808232219519038;0.277671716121156;0.17806582464326565;0.282572171016593;0.17809984222036268;0.28761820559707796;0.17816263949409375;0.29289105398176524;0.178513775925897;0.2984896369862871;0.17884140811188762;0.30460591486836086;0.1789489496480578;0.31163174804951366;0.17885339439098066;0.3195810596380429;0.17864154226066137;0.32812142240556175;0.17842106386202083;0.33719470827782616;0.17823564967825825;0.3469292791711705;0.1784630120118994;0.3572459136294832;0.17844540023703392;0.3683355339284737;0.17811524633291875;0.37981182272605707;0.177489258834528;0.39158297748273097;0.17668868605205945;0.40337270088455907;0.17565713733902008;0.4154726730480227;0.17433358348275407;0.4280596463358388;0.1724586618559442;0.4418390918314845;0.1694566125714825;0.4570351927057981;0.16591192718817058;0.47347363220056127;0.16212782543059787;0.4906668242510062;0.15856445551006015;0.5079766934011782;0.1555393520034037;0.5253789660338578;0.15289026166413264;0.5427020606451712;0.15067815197050277;0.5603657439560015;0.14866550782966603;0.578100836873791;0.14694590435691637;0.5956343074145336;0.14578416963782584;0.6126977921737886;0.1448557279189175;0.6290594121032737;0.1435369781377587;0.6444501464285214;0.1427018410270402;0.6591603342463942;0.14215392374864297;0.6734296179470518;0.14150984878974474;0.6871743395998821;0.14112154648728714;0.7002605233840002;0.1407691918960429;0.7123100272952275;0.1402376787563241;0.7227001172226682;0.13975882244095902;0.7314809775349407;0.13914918357899284;0.739358882623479;0.13859586599897317;0.7468418036444189;0.13824239052655246;0.7536908354365841;0.1383165268102555;0.75981658181082;0.13876410409939002;0.765035313980197;0.13953474415876463;0.7696257868492908;0.14075255627140126;0.7736318691415185;0.14238580686449812;0.7777612523300043;0.14425337988709627;0.7825308510649617;0.14605240141764256;0.7883336605072772;0.14731934540146127;0.79556267581784;0.14762622823674054;0.8046108921575404;0.1468350477321109;0.8158713046872687;0.14547454860406236;0.8297369085679138;0.14527412889542682
1;28;1.9787985865724382;0.5334182066852118;0.2419756505089888;0.5406910813484195;0.24289422224591117;0.5484203615050746;0.24386570155598924;0.5564533644092499;0.24476993923907808;0.5646374073150182;0.2456267092450667;0.5728198074764528;0.24650084058933847;0.5808478821476265;0.24743449429506467;0.5885689485826153;0.24840577962999966;0.5952901563978807;0.24917902449715817;0.6016118524568111;0.2489975665499429;0.6067439856481182;0.24882914787035826;0.6109752954345655;0.24855021960117823;0.6147096676465532;0.247370830953776;0.619164857915987;0.2472045374824149;0.6241619355314773;0.24723120536953216;0.6300518507507331;0.24749923002772348;0.636018065744559;0.24812410614487695;0.6415692833475888;0.2496291231687935;0.6475908634816909;0.25051267515265147;0.6533385999508672;0.2530825241841423;0.6585153255554204;0.2559389331724365;0.6639083368386716;0.25672258030100537;0.668671269092291;0.25536360038926414;0.6725396718652324;0.25301869317851294;0.6749716478946851;0.24982783014031934;0.6771856995694405;0.24575259400582028;0.6798466417882635;0.2408854428119462;0.6830371098797137;0.23668353489540442;0.6864999204113621;0.23303544412667432;0.6907791765678821;0.2299313336727987;0.6938238898675863;0.22754985090510602;0.6957270798367652;0.22561324803642197;0.6974796486727899;0.22335638854303175;0.698431793200759;0.22282444161205342;0.6992274358477083;0.22215456417725343;0.700988913827248;0.22091310137825457;0.7018348430862869;0.2200354539233557;0.7016651471440095;0.21972369179201306;0.7008757371549219;0.21914901556826222;0.6994299868554049;0.21902065041723115;0.6983556689518178;0.2204596297495452;0.6969005279308025;0.22291269741591127;0.6950247537426533;0.22579571064634366;0.6930579249174967;0.22779887011239444;0.6901234409712932;0.22873218530471973;0.686740111343276;0.22940770313983014;0.6835762625142848;0.22977896299041162;0.6786284063927848;0.23203679697359914;0.6729488667661422;0.2340168072975502;0.6663481242687884;0.235468407003702;0.6575616412182164;0.23660100246282578;0.6476946146762496;0.23788002640608555;0.6375796351754097;0.2385757474135149;0.6280735752226049;0.23998862939720167;0.6187262898828337;0.2409889974285867;0.6112948741882659;0.24175261427201938;0.6065616665880731;0.24191386462880476;0.6053090055314303;0.24108067765217708;0.6083192294675117;0.2389893879091135;0.6163746768454927;0.23572626242358546;0.6302576861145476;0.23204368428233155
2;66;4.6643109540636045;0.4332623415200861;0.21005004878671504;0.43792960987175256;0.20410388406338484;0.4429183562290523;0.2000413844250342;0.4482225977566716;0.19705021607473014;0.45383635161929725;0.194729046653034;0.45975363498161537;0.1929456457437437;0.46596846500831257;0.19170217583918986;0.47247485886407753;0.19102620565879264;0.4790222821167532;0.19063988619331712;0.48612018174498856;0.1908711584975505;0.49400279881382747;0.190898177844807;0.5017281350268064;0.1915367794244479;0.5098538655090076;0.19252013710821764;0.5181058908754343;0.19349429343376415;0.5263942632927984;0.19389456419843212;0.5344583717478346;0.19365636874598072;0.5431300899430264;0.1930775895276678;0.5523188072076732;0.19256301899129294;0.5614494250517372;0.19239445336977212;0.5704860371310172;0.19228842123949488;0.5790795147095631;0.19214384203734364;0.5869169618521847;0.19228212899604855;0.5943206616354801;0.19276922989112166;0.6014119149618632;0.19314324368080488;0.6085039666611337;0.1929496402982162;0.6150746281721177;0.19291983791791759;0.621840826717356;0.1924272397882492;0.6277087518726128;0.19161084114127647;0.6338262973925043;0.19076719821109606;0.6395731737280833;0.18987625869730101;0.6455838754196596;0.18851968463936664;0.6505921117686896;0.18709946086496684;0.6548180263858371;0.18514868348877742;0.6589752423455091;0.1828993907560056;0.6622427207902962;0.18060331374125338;0.6649244066980464;0.17831197455407094;0.6667507640189766;0.17597043890446623;0.6688165200368668;0.17384521397314517;0.6704977532489224;0.17284012970104332;0.6720050444505495;0.17339683958456364;0.6725300836608721;0.1746389955462468;0.6731208697158323;0.17665860987739104;0.6734940009553825;0.17933911975935757;0.6734057134886821;0.18180258479679487;0.6721240934237805;0.18441887276046406;0.6691459919068325;0.1872344392275867;0.6650783160324226;0.18950619973128904;0.6600462404103576;0.191137091709681;0.6538104835265253;0.19182829683937863;0.6473283906071345;0.19157412255913886;0.6397669564540702;0.19001581143819765;0.6325461675275875;0.18802690874887826;0.6265152141056972;0.1858725296257267;0.622645782844842;0.1838666978225304;0.621267006085264;0.18169798935462275;0.6238069927954045;0.17996708915599174;0.6311692635041396;0.17842349709610117;0.6442573387403483;0.17686228270108884;0.6639747390329099;0.17555788141735718;0.6912249849107034;0.17586384669767502;0.7269115969026081;0.18085918043365684
3;23;1.6254416961130742;0.3014752570392702;0.22657620102042464;0.306909764683519;0.22426831230341784;0.31061056736417286;0.22472705981037974;0.3128526767822848;0.22581023050726348;0.31391110463890787;0.2266269112152918;0.31406086263509525;0.22706664473752855;0.31357696247189987;0.22740398183386903;0.31273441585037637;0.2280044289864194;0.3112747527629982;0.22928914077112722;0.3105679756716328;0.23109625657405544;0.3106602211716059;0.2324779790826607;0.31318319397306793;0.23382488397348464;0.3175990537445181;0.2355884531281942;0.32102051983687635;0.23535944304292128;0.3253376536797549;0.23770836632978776;0.3299323095498892;0.2408622123357577;0.33141091803102674;0.243152003113182;0.3314975515123204;0.24589676533492547;0.3280980842731141;0.24688398362689198;0.3219499780876845;0.24697588994848305;0.31236290530272504;0.24585292450850485;0.30131772386288963;0.24472289571417574;0.2894462719989761;0.24387286839392924;0.27905390199323654;0.24340207362312494;0.27144203602420375;0.24362638605839118;0.2667105355495204;0.24387269711413312;0.2648697157181513;0.2441755463675193;0.2654053951713603;0.24516442277431855;0.26742486001634136;0.24702076805971293;0.27087594219005967;0.24902894752247282;0.2735936982689374;0.25030754464978694;0.27599766041947477;0.25119518459381346;0.2766447110602483;0.2510771674951415;0.27672275018162773;0.2505741443444425;0.27589828166657365;0.24977475222010262;0.2755909036368445;0.24982574271094732;0.2759355852450415;0.2502395906426475;0.27802867740295845;0.25081842669450166;0.28137591400146855;0.25220672825196006;0.28573863450245757;0.2540250721984506;0.28963656838122437;0.2554264664117666;0.29367943751719666;0.25660319786117436;0.29687922000308664;0.257500424858275;0.2998577711480803;0.25833035089460993;0.3022813297513135;0.25947840273437583;0.30492270430277996;0.2611170679667693;0.3068833672500793;0.2626838881962972;0.30708778412214066;0.269080425384117;0.3069862927511778;0.27545872555156553;0.3098020131987839;0.27980537434840974;0.31947760069724424;0.2793237347812775;0.33307237776391235;0.2797630594846831;0.35261018329451327;0.28048235294440127;0.3772510496416229;0.2823230127957172;0.4078199487852241;0.2889299702555613;0.4432163037724881;0.29784625255576985;0.4832696377984863;0.3048625501083891;0.5278094740582909;0.30550128178469554;0.5766653357469748;0.296702698577832;0.6296667460596108;0.27937964125748815;0.6866432281912713;0.26388711103178075
4;197;13.922261484098941;0.3293625195247812;0.19756534816812377;0.3365682496751446;0.1945456056510581;0.34459405498548523;0.19306354196683764;0.35343866466423796;0.1919555579809835;0.36310080791983773;0.19085233681950456;0.3735792139607196;0.1897719161667755;0.38487261199531847;0.18880905072174106;0.39697973123207136;0.18793624457290106;0.41015083975479005;0.1862474470647571;0.42432129624164583;0.183782490283862;0.43936268168855;0.1799968955561234;0.45464008194630173;0.17644464351340974;0.47011860996866645;0.172538406159911;0.48641074208968466;0.16898227261033846;0.50287250097306;0.16610279489824453;0.5189114903754132;0.16405215631888506;0.5342078487319379;0.16280174745797685;0.5482716174999466;0.1621144398644733;0.561269971229278;0.16177983510603183;0.5732550246393301;0.1618625234787841;0.5842003486832195;0.1620049516466382;0.5948837097549995;0.16144575621922547;0.6051898583205425;0.16137809784032112;0.615452851993973;0.16194352754236957;0.6257881876292096;0.1625881729251491;0.6363418775719311;0.16278776912947554;0.6475255935392105;0.16258941498482674;0.6591147077009994;0.16247898682989664;0.6700969579116884;0.16253087305080866;0.6805010335915719;0.16244615180157035;0.6903590045840443;0.16258276866206695;0.6993453034315007;0.16259621958103332;0.7071033201537985;0.1624646710576211;0.7138939074450829;0.16205996993174895;0.7198584145587421;0.16155549547569642;0.7253552432589565;0.1611869754580496;0.7303467434978947;0.1611272238607039;0.7349447988419449;0.16123237251018085;0.7392304425250725;0.16141223470752095;0.7435104465420586;0.16128061997991555;0.7474759637602283;0.16080205781233511;0.7509809427008984;0.16033093565582265;0.7542613940975059;0.15972684025450543;0.7574739836348583;0.15868911904244773;0.7603819705054357;0.15733949203199035;0.7627496224946496;0.15588381853617922;0.7644747505119576;0.1545258356561321;0.7661068090490624;0.1537093389076203;0.7677188509078602;0.1530709683804883;0.7693751899363251;0.15269414382426902;0.770734831657369;0.1526490771377399;0.7722614110607422;0.15330644012757735;0.7741202331051077;0.154169624595921;0.7765486514586574;0.1557707030303645;0.7797772714234563;0.15751231399878746;0.7841401533855088;0.15922362978169385;0.7898879819305481;0.16039813792118823;0.7972714416443119;0.16054114941925046;0.8065412171125373;0.15940529159632405;0.8179479929209622;0.15733571652153275;0.8317424536553236;0.15577610782008655
5;330;23.32155477031802;0.1825854933876081;0.16771493293625855;0.1839215662166986;0.16559946022742045;0.18556930621860432;0.1645986743407003;0.1875040345194842;0.16415728162571797;0.18970107224549726;0.16399796488559226;0.19213574052280252;0.16401684850180767;0.19478336047755898;0.16419416398731806;0.1976192532359266;0.16452783883503605;0.20063255708597064;0.1649882945153227;0.2037675825775466;0.1653940999238154;0.20697253028981122;0.16574007132382682;0.21028440870631376;0.16596681990580592;0.21359863238965446;0.16617540727697247;0.2170713879608143;0.16627970391262217;0.22063206364701476;0.16628636461471796;0.22416220924458619;0.16618214259439154;0.2278119002759751;0.16610116598791233;0.2317637719586277;0.1660985486826721;0.2358634042879624;0.16615658597657856;0.24026851302556182;0.16616320888356853;0.2451559924248312;0.16641206387366073;0.2504790504093273;0.16681451841557948;0.2561936697087926;0.16701094081877282;0.26234639948016536;0.16675847937305316;0.2688666150786444;0.16648094868850613;0.27581383960669087;0.16611680880051996;0.2831669562301309;0.16559358519798745;0.29107767913191857;0.16540208256572123;0.29956816315034207;0.1653462507046189;0.30858732087808227;0.1650504261716242;0.3181737436626722;0.1645095351789738;0.32838084591176375;0.16392218511198267;0.33901493030496704;0.16318567212465507;0.3504116554006891;0.16221574751694606;0.3627648660032451;0.16121697745003394;0.3761544450482976;0.16029919092951642;0.3905178431734009;0.15961083003670376;0.40541879970656963;0.1588596631622158;0.4202042047603263;0.15817388670616217;0.43551789797728435;0.15732246896771857;0.4514862624834182;0.15598480609776066;0.4684690780565328;0.15377503232958403;0.48655508406794096;0.15113201895326966;0.5053509981575139;0.1484297813259263;0.5241820834445481;0.1458044013377971;0.5426578056735898;0.14386999146718613;0.5608480062682573;0.14330656102219452;0.5791673390449766;0.1436094054976449;0.5975402600191919;0.14475092002351517;0.6161578693332515;0.146088231414108;0.6348935025930305;0.14739280105925637;0.6530802444418328;0.14778935225612405;0.6709749313331437;0.14801738206590095;0.689281383826837;0.1485577530705709;0.7085711451424008;0.14900518410802455;0.7280916896968771;0.1496130123189211;0.7477691295609697;0.1498406755618999;0.7675295768053859;0.14908055108976193;0.787299143500833;0.14708162987576806;0.8070039417180183;0.1446001267127739;0.8265700835276486;0.14434459173622582
6;222;15.68904593639576;0.296946482310134;0.15784212052880578;0.3056114387092199;0.15496146459923615;0.3141261909964495;0.15334228400425318;0.32251214054616334;0.15229255111615222;0.33079068873270195;0.15150484843963197;0.3389832369304063;0.150901026505391;0.3471111865136168;0.1504997264591428;0.3551959388566761;0.15031902989975324;0.36337745867210197;0.1501848767584917;0.37137313763020025;0.1498606745585926;0.37956427254132696;0.14953353898988506;0.3879034326574505;0.14911847310393153;0.3962822656304803;0.14864957868717293;0.40459174113538293;0.14820424274660676;0.4130722023454003;0.14778030154093852;0.4212044303262349;0.14720152406625334;0.4289141737545554;0.14681816679202095;0.43639544700175564;0.14670391556478887;0.44326378654720816;0.14663985647238312;0.4496003413446056;0.14663839916913807;0.45551593911047666;0.14652297011221746;0.46111699314236243;0.1461402472268971;0.46683286973229005;0.14560896984571445;0.47278033262684305;0.14483256316812068;0.4791374809194125;0.14400813475653573;0.4857586543705561;0.14307660817367093;0.4925158527347766;0.1420307848010973;0.4994311086400908;0.14074119703290128;0.5064549165601182;0.1396167367079684;0.513507826359265;0.13896383326764414;0.5203157659403379;0.13875470020687283;0.5268826360490059;0.13873778463698108;0.533170226456638;0.13875641257110663;0.5391276797134615;0.1385805547581819;0.5446801882999249;0.13808526783861835;0.549975278236899;0.13725581271884552;0.5552691672982845;0.13639563740770091;0.5605977243427215;0.1357104225454295;0.5661035819076536;0.13543188526025432;0.5713809830020701;0.13534122015925437;0.57694677021158;0.13525917833462492;0.5830806411390768;0.13515943534970032;0.5897583155991505;0.1351536372777299;0.5969822835213624;0.13525994323060517;0.6041044596722306;0.13539086706757628;0.6113254631355579;0.13561168129786352;0.6184494875702633;0.1361269375958872;0.6250659026468015;0.13638966624227694;0.6311349002308149;0.1362975780055902;0.6371834629433709;0.1360153198788108;0.6433245867679697;0.13594025620734854;0.6499123658872663;0.13572278090844744;0.6579886424042503;0.13554575332042146;0.668154430828111;0.135931018288923;0.6806391766783816;0.13709676916137203;0.6959025595982723;0.13837463776709502;0.7143678831868429;0.13910863049663144;0.7364584510431571;0.1387887553549043;0.7625975667662785;0.13750678336678326;0.793208533955271;0.13662044418810035;0.8287146562091974;0.13957535611620575
7;104;7.34982332155477;0.16845167530126967;0.1864664666436733;0.16791884511292848;0.186030277737723;0.16755677157517462;0.1858572063650015;0.16737263625442306;0.1857553045356535;0.16737362071708894;0.18563844567618065;0.16756690652958733;0.18548736419416897;0.1679596752583333;0.1853184421495045;0.16855910846974279;0.18516063921164294;0.16932056241898555;0.18509657703263813;0.17036352158949356;0.18506467627953094;0.17198482528673403;0.1851305067771769;0.17371041263233927;0.18534681927294067;0.17550049297311227;0.18521876707226112;0.1771797235292209;0.18505395274401218;0.1789643550291471;0.18509647406512414;0.1806500584028496;0.18542675818515897;0.18227077464912064;0.1857719365021264;0.18361861791100262;0.18632378399080918;0.1848091897621399;0.18702247300824237;0.1857638565520389;0.18790984206677924;0.18689046907159612;0.18933075676044078;0.18827368518801382;0.1910549027241808;0.19008723264914287;0.19291872746637434;0.19230547548952998;0.1946713645457102;0.19495672885639528;0.19632520031460005;0.19751470504721225;0.19763843297855857;0.20050742677341588;0.19903916831809965;0.2036697519552561;0.2004541086998433;0.20677378026512344;0.201657415648475;0.2094204917602593;0.20228303413671542;0.21216573134512814;0.202506123085812;0.2147638293142428;0.202463988588177;0.21738449312869182;0.2021144466868749;0.22041353644002631;0.20183272328275048;0.2241154445425403;0.20189037702128848;0.22852403843363758;0.20234527706635622;0.23360770595281546;0.20293893538514307;0.23914148436104601;0.2036684399291276;0.24526884980828095;0.20498603961037842;0.2517249065152493;0.20682248860931593;0.259030948827455;0.20899859509580035;0.2664389164069216;0.21153369211995957;0.27411586014161526;0.21375477097514245;0.2824508128975725;0.21548477851554687;0.29172899316644096;0.21731329969662092;0.30131708487758685;0.21834087076948325;0.3114589205116997;0.21815884113856263;0.32260505843915277;0.215940035108525;0.33528048614128036;0.21219930719658114;0.3500156474418346;0.20768300341340096;0.3670896932064842;0.20376371499968807;0.38614032963443334;0.20151741439622234;0.40816174748257744;0.20295677775792853;0.43347643451408263;0.20719036779151298;0.46156535847896163;0.21238799362192295;0.4921961087276362;0.21861255848421432;0.5252845814640649;0.2246337127898502;0.5607466728922086;0.2295498776389777;0.5984982792160283;0.2334473798811246;0.6384552966394847;0.23823865229421512;0.6805336213665386;0.24857487704690515
8;13;0.9187279151943463;0.5888171184532571;0.20420910050580776;0.5538547914976006;0.2099382515039069;0.5271795150199439;0.22368111799033047;0.5077223536858179;0.23844965753312763;0.49441437216075346;0.2510406823956349;0.486186635110282;0.26047905294417395;0.4819702071999344;0.26690609711750185;0.48069615309524394;0.2709767808211107;0.4773581878871586;0.2757860755071684;0.47890611386269427;0.27743063046354954;0.48003963184332804;0.27982626969182306;0.480746733972461;0.28514258906455014;0.48094134160894164;0.29002863290122616;0.47871669424619473;0.2939013545550974;0.4762111363423301;0.2942304660395729;0.47200204384029737;0.2930681780433762;0.46910744294132367;0.29093574377401593;0.4655887679057094;0.2867620765794628;0.46150305392846175;0.2808579081207568;0.45664829598830275;0.2745077770548468;0.4506383822953626;0.27056837251044963;0.44455990839193643;0.2681959464724768;0.43870227619824703;0.2675566920895472;0.43609490298723885;0.2700043907815977;0.43602318406845975;0.27521839297884804;0.43904632286555384;0.2834204091320785;0.4426939894477047;0.28943584700767416;0.4471749054756235;0.29244901699161124;0.4534816800022586;0.2928839714283031;0.4597371458019073;0.29393782231229143;0.46819123577166405;0.2935179024630084;0.47439176065396893;0.29516764614356866;0.47970222349080766;0.295661599795562;0.4856652028368582;0.2946780492346333;0.4917592327438913;0.2932363151620495;0.497746826380642;0.2907546208150634;0.5047943043465932;0.2879840325737051;0.513752180657721;0.2865705886144241;0.5219651751569802;0.2848239838393607;0.5300173383065409;0.283965991844934;0.5367359450819426;0.2825821111515652;0.5429522175808184;0.28205677283810837;0.5491284198027857;0.28192721912076635;0.5559966453432964;0.2826509471080455;0.561703320006324;0.2828158813504627;0.5663648129710406;0.283052505660218;0.5703506305069224;0.2828965559070803;0.5735832044363561;0.2832515793059464;0.576738196584179;0.2846494158020285;0.5802442447212546;0.28649684332706493;0.581268167768425;0.294973801487036;0.5841025792840486;0.2973336311931123;0.589084250708637;0.2945862431846981;0.5972103026187294;0.28801162259852553;0.605523185750169;0.28066665993563295;0.616149615255236;0.27112248205184875;0.6294664931360886;0.25966645417411494;0.6458507213948871;0.2468808401325866;0.6656792020337922;0.23394450098419886;0.6893288370549645;0.22310341169615253;0.7171765284605649;0.2181899433268897
9;27;1.9081272084805656;0.35342977034591533;0.24007430784359163;0.3637094908307534;0.23653533994096068;0.37218549758826686;0.23453304624381974;0.379204142581851;0.232883353329857;0.38511177777490047;0.23123485632335525;0.3902547551308109;0.22969896279798255;0.394979426612977;0.22854690406650977;0.39963214418479603;0.22798501135466429;0.4054894742415633;0.2272638903993374;0.41154030823496845;0.22725100426293693;0.41779108373326357;0.22786985788025887;0.42527594829860227;0.22851140166753994;0.43462299791218845;0.22756792340407922;0.44477035687276467;0.22527889146217212;0.45660163258728764;0.22129512455421702;0.4700502266112392;0.21745070123011295;0.4829495845109867;0.21145248906309763;0.4951536891638923;0.20518565522394028;0.5054447843354198;0.2007413850316553;0.5124551610631903;0.1994002632834902;0.5152202766513911;0.2003382276232883;0.5138498486733996;0.203157190951401;0.5099703337101583;0.2065694549321939;0.5036135175743437;0.211026852726551;0.4950234143912428;0.21653286593573598;0.486335444390447;0.22217070802475197;0.479809508041538;0.22767553572883983;0.47564428971550043;0.2327385502763987;0.47485300931185037;0.23644359659640946;0.4763242983954874;0.23764476631359382;0.479229547298965;0.23641342686962952;0.48381993729856765;0.23379126748696993;0.4884954010075902;0.23189889575135655;0.49171735574479;0.23159096076850674;0.4938329429712959;0.2314050566313374;0.4953249440707473;0.23040717331425703;0.4958393848727975;0.22998999732206932;0.4961492110449695;0.22909501502517166;0.4961925768198196;0.22806436165656527;0.4952933694873248;0.22733645164402821;0.4950934995231196;0.22721922119115387;0.494924229629996;0.22764025697503817;0.49540931273290173;0.2288363065921642;0.4957965095956964;0.23023496397370158;0.49643463572929997;0.23180827035446536;0.4955199212490709;0.23242250116065882;0.4944164441371281;0.23143144471935848;0.4928735648403446;0.22812229903755743;0.4911466901649368;0.22433240842026103;0.48868509915272673;0.2197300773136745;0.4895816389403635;0.21449094547184705;0.4938993073964844;0.20893914759728582;0.5010857348706987;0.20340935403428825;0.5116846765743096;0.2006308868148828;0.5270449780369576;0.19923717847356937;0.5460277705090631;0.1996736675241498;0.5686372962655328;0.20089074616663363;0.5948777975812755;0.201705739758114;0.6247535167312006;0.2014146139009657;0.6582686959902169;0.20057101266845648;0.6954275776332334;0.20200478970489294
